Account, LUEs, InstalledMonth
621,025,949.4999999999998
621,026,968.0
621,027,739.4999999999998
621,028,27.0
621,030,486.3
621,031,146.0
621,032,139.0
621,034,162.6
621,035,119.3
621,036,94.0
621,037,56.6
621,038,74.3
621,039,144.6
621,040,1.0
621,041,0
621,042,1.0
621,043,6.3
621,045,0
621,051,592.2
621,053,753.9
621,055,0
621,057,2.0
621,116,887.3
622,001,1031.8999999999985
622,002,2782.800000000002
622,003,17.0
622,004,1083.0999999999997
622,005,2092.2
622,006,474.6
622,008,1131.9999999999995
622,010,2826.1000000000004
622,011,1844.1
622,012,1040.6999999999998
622,013,1063.3999999999996
622,015,582.0
622,016,111.3
622,017,1190.7999999999997
622,018,453.0
622,019,366.90000000000003
622,021,132.0
622,023,164.0
622,024,871.5999999999999
622,025,956.4999999999998
622,026,974.0
622,027,742.4999999999998
622,028,27.0
622,030,486.3
622,031,146.0
622,032,141.0
622,034,162.6
622,035,121.3
622,036,95.0
622,037,57.6
622,038,74.3
622,039,152.2
622,040,1.0
622,041,0
622,042,1.0
622,043,8.3
622,045,0
622,051,593.2
622,053,763.9
622,055,0
622,057,2.0
622,116,888.3
623,001,1032.8999999999985
623,002,2791.4000000000024
623,003,17.0
623,004,1084.0999999999997
623,005,2093.2
623,006,474.6
623,008,1131.9999999999995
623,010,2827.1000000000004
623,011,1844.1
623,012,1040.6999999999998
623,013,1082.3999999999999
623,015,582.0
623,016,111.3
623,017,1205.7999999999997
623,018,460.0
623,019,373.90000000000003
623,021,136.0
623,023,166.0
623,024,883.8999999999999
623,025,961.4999999999998
623,026,1011.0
623,027,754.4999999999998
623,028,33.3
623,030,495.3
623,031,153.0
623,032,151.0
623,034,167.6
623,035,128.3
623,036,100.0
623,037,57.6
623,038,75.3
623,039,164.2
623,040,1.0
623,041,2.0
623,042,2.0
623,043,10.3
623,045,0
623,051,596.2
623,053,767.9
623,055,0
623,057,2.0
623,116,896.3
624,001,1033.8999999999985
624,002,2809.700000000002
624,003,17.0
624,004,1089.0999999999997
624,005,2102.2
624,006,474.6
624,008,1131.9999999999995
624,010,2832.1000000000004
624,011,1844.1
624,012,1040.6999999999998
624,013,1085.3999999999999
624,015,582.0
624,016,111.3
624,017,1280.7999999999997
624,018,488.0
624,019,376.90000000000003
624,021,186.0
624,023,167.0
624,024,924.8999999999999
624,025,980.4999999999998
624,026,1062.0
624,027,800.4999999999998
624,028,44.3
624,030,512.3
624,031,153.0
624,032,168.0
624,034,171.6
624,035,134.3
624,036,103.0
624,037,58.6
624,038,78.3
624,039,172.2
624,040,1.0
624,041,16.0
624,042,2.0
624,043,11.3
624,045,0
624,051,599.2
624,053,770.9
624,055,1.0
624,057,2.0
624,116,923.3
625,001,1035.8999999999985
625,002,2856.3000000000025
625,003,17.0
625,004,1090.0999999999997
625,005,2143.2
625,006,474.6
625,008,1131.9999999999995
